,song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
43,solari,Ryuichi Sakamoto,0.202,0.232,2,-19.154,0,0.0336,0.888,0.902,0.0903,0.046,88.348,audio_features,2ZYyuqKe7T64UqWVuW7CkS,spotify:track:2ZYyuqKe7T64UqWVuW7CkS,https://api.spotify.com/v1/tracks/2ZYyuqKe7T64UqWVuW7CkS,https://api.spotify.com/v1/audio-analysis/2ZYyuqKe7T64UqWVuW7CkS,232073,3,ambient
44,Dear Ko (To Ko the Regt),"Nacho Maldonado, Jim Doney",0.209,0.417,2,-7.428,0,0.042,0.9,0.786,0.128,0.0773,72.437,audio_features,0GjLTIe2YZDqf7qm1hmEhD,spotify:track:0GjLTIe2YZDqf7qm1hmEhD,https://api.spotify.com/v1/tracks/0GjLTIe2YZDqf7qm1hmEhD,https://api.spotify.com/v1/audio-analysis/0GjLTIe2YZDqf7qm1hmEhD,191747,3,ambient
45,Orbital,wood.,0.436,0.188,9,-15.593,0,0.0338,0.381,0.876,0.122,0.144,140.033,audio_features,5IOaAcDTeliDDEa3QPGnAK,spotify:track:5IOaAcDTeliDDEa3QPGnAK,https://api.spotify.com/v1/tracks/5IOaAcDTeliDDEa3QPGnAK,https://api.spotify.com/v1/audio-analysis/5IOaAcDTeliDDEa3QPGnAK,135251,4,ambient
46,Sais,Floating Points,0.754,0.301,5,-13.405,0,0.0511,0.474,0.877,0.112,0.147,134.0,audio_features,65c7ctSEOiYbz61XtytvOV,spotify:track:65c7ctSEOiYbz61XtytvOV,https://api.spotify.com/v1/tracks/65c7ctSEOiYbz61XtytvOV,https://api.spotify.com/v1/audio-analysis/65c7ctSEOiYbz61XtytvOV,483594,4,ambient
47,New Grass,Talk Talk,0.455,0.386,9,-20.548,1,0.0315,0.825,0.271,0.322,0.196,99.553,audio_features,51Lt2RN3W0u2xI0LiARCRm,spotify:track:51Lt2RN3W0u2xI0LiARCRm,https://api.spotify.com/v1/tracks/51Lt2RN3W0u2xI0LiARCRm,https://api.spotify.com/v1/audio-analysis/51Lt2RN3W0u2xI0LiARCRm,586440,3,ambient
48,First Chakra Keynote C (Red) - (Bonus Version) (Remastered),"Steven Halpern, Iasos",0.212,0.00393,2,-28.139,0,0.0741,0.993,0.688,0.112,0.0362,68.033,audio_features,6CoQyyWTIjzaVoBnZMH8kw,spotify:track:6CoQyyWTIjzaVoBnZMH8kw,https://api.spotify.com/v1/tracks/6CoQyyWTIjzaVoBnZMH8kw,https://api.spotify.com/v1/audio-analysis/6CoQyyWTIjzaVoBnZMH8kw,171107,4,ambient
49,Winter's Lament,Rival Consoles,0.212,0.12,4,-23.83,0,0.039,0.993,0.905,0.108,0.287,167.717,audio_features,6SeSesTsbZgtyoY6GTyrEd,spotify:track:6SeSesTsbZgtyoY6GTyrEd,https://api.spotify.com/v1/tracks/6SeSesTsbZgtyoY6GTyrEd,https://api.spotify.com/v1/audio-analysis/6SeSesTsbZgtyoY6GTyrEd,170000,3,ambient
50,"He's a Pirate (from ""Pirates of the Caribbean: Curse of the Black Pearl"") - From ""Pirates of the Caribbean: The Curse Of the Black Pearl""/Score",Klaus Badelt,0.463,0.624,10,-13.167,1,0.0485,0.0151,0.962,0.134,0.178,70.48,audio_features,37g1RYWXZP7qPVWm62ffOz,spotify:track:37g1RYWXZP7qPVWm62ffOz,https://api.spotify.com/v1/tracks/37g1RYWXZP7qPVWm62ffOz,https://api.spotify.com/v1/audio-analysis/37g1RYWXZP7qPVWm62ffOz,88013,4,enigmatic
51,Time,Hans Zimmer,0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,audio_features,6ZFbXIJkuI1dVNWvzJzown,spotify:track:6ZFbXIJkuI1dVNWvzJzown,https://api.spotify.com/v1/tracks/6ZFbXIJkuI1dVNWvzJzown,https://api.spotify.com/v1/audio-analysis/6ZFbXIJkuI1dVNWvzJzown,275556,4,enigmatic
52,Theme From Jurassic Park,John Williams,0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,audio_features,2TZbQZXOuR8osP2AK8yYMN,spotify:track:2TZbQZXOuR8osP2AK8yYMN,https://api.spotify.com/v1/tracks/2TZbQZXOuR8osP2AK8yYMN,https://api.spotify.com/v1/audio-analysis/2TZbQZXOuR8osP2AK8yYMN,207427,3,enigmatic
